BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01642,1.86,1.86,-,-,-,-,-,-,-,-,-,-,<2,3.46,<3,443,0.9,<5,5.63,<1,2,11,5.1,0.94,1.93,11.2,26,0.27,1109,<1,0.75,8,0.03,17,0.04,<5,1.5,<10,140,0.05,12,<10,10.6,14,34.9,-,-
PAL01643,1.82,1.82,-,-,-,-,-,-,-,-,-,-,<2,3.04,<3,710,0.8,<5,7.81,<1,2,13,7.2,1.19,1.55,9.5,31,0.22,1204,<1,0.66,10,0.03,18,0.04,5,1.6,<10,205,0.06,16,<10,10.5,18,30.7,-,-
PAL01644,1.46,1.46,-,-,-,-,-,-,-,-,-,-,<2,3.76,<3,482,0.9,<5,6.73,<1,2,6,7.7,0.83,2.02,8.0,23,0.25,951,<1,0.77,8,0.03,29,0.02,<5,1.3,<10,167,0.04,12,<10,8.3,13,26.8,-,-
PAL01645,1.62,1.62,-,-,-,-,-,-,-,-,-,-,<2,1.85,<3,319,0.5,<5,>15,<1,2,24,7.0,1.25,0.77,12.2,26,0.32,2782,1,0.42,10,0.03,14,0.02,<5,2.1,<10,396,0.05,22,<10,13.4,12,26.7,-,-
PAL01646,1.66,1.66,-,-,-,-,-,-,-,-,-,-,<2,2.04,4,404,0.5,<5,10.9,<1,3,23,5.5,1.56,0.64,10.2,25,0.50,2020,1,0.53,12,0.04,13,0.03,<5,2.5,<10,219,0.07,24,<10,10.2,16,31.3,-,-
PAL01647,1.79,1.79,-,-,-,-,-,-,-,-,-,-,<2,1.99,4,234,<0.5,<5,11.6,<1,3,20,6.9,1.32,0.61,9.4,24,0.50,2424,<1,0.55,10,0.03,3258,0.04,<5,2.2,<10,272,0.06,19,<10,11.1,13,28.0,-,-
PAL01648,1.45,1.45,-,-,-,-,-,-,-,-,-,-,<2,2.36,5,709,0.6,<5,8.31,<1,3,20,4.3,1.27,0.93,11.5,24,0.62,2381,1,0.59,12,0.03,17,0.04,<5,2.3,<10,295,0.07,20,<10,13.4,18,34.1,-,-
PAL01649,1.56,1.56,-,-,-,-,-,-,-,-,-,-,<2,4.21,27,1177,1.1,<5,5.45,<1,4,15,7.6,1.28,2.12,25.1,33,0.28,1363,1,1.01,12,0.03,15,0.05,<5,2.4,<10,302,0.07,17,<10,16.4,17,44.3,-,-
PAL01650,1.83,1.83,-,-,-,-,-,-,-,-,-,-,<2,3.39,10,466,1.1,<5,8.32,<1,3,11,13.9,0.84,1.93,15.3,31,0.21,1456,1,0.79,7,0.02,17,0.02,<5,2.0,<10,254,0.05,14,<10,16.8,14,38.3,-,-
PAL01651,1.14,1.14,-,-,-,-,-,-,-,-,-,-,<2,0.62,<3,21,<0.5,<5,>15,<1,<1,<1,6.6,0.50,0.19,4.2,7,11.4,691,<1,0.05,1,<0.01,10,0.04,<5,0.6,<10,35.6,<0.01,<2,<10,3.4,46,11.9,-,-
PAL01652,0.96,0.96,500.0,75.60,24.40,378.0,122.0,20.0,86.00,14.00,17.2,2.8,<2,4.08,10,2107,1.0,<5,4.03,<1,3,12,7.0,0.77,2.57,11.6,35,0.32,1065,1,0.86,13,0.03,12,0.27,<5,2.4,<10,502,0.06,18,<10,13.6,20,51.5,-,-
